Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2017-11-28,408.59326171875,414.7818240112694,407.16889532900217,412.37514424316447,6217480
2017-11-29,406.628662109375,412.03138605103544,404.76224258363044,408.5441553383582,4327453
2017-11-30,397.001953125,404.9586976307138,395.13556366756734,403.14141185196655,25646262
2017-12-01,391.8448181152344,402.9940814526337,389.48727189754845,400.6856389149265,7959197
2017-12-04,396.51080322265625,403.9763911581657,394.5953100537085,398.6227710653647,10043491
2017-12-05,395.1355895996094,398.32810834715127,389.53639088202016,397.39489856827714,7144542
2017-12-06,390.02752685546875,396.85461703570354,388.0137963591656,393.121838074518,5573968
2017-12-07,394.8900146484375,398.1316371059129,390.1257883268895,390.96076077133864,7998863
2017-12-08,403.878173828125,406.4321948243998,398.8192654953627,398.8192654953627,12288946
2017-12-11,402.8958435058594,407.8565442671066,401.8152927475205,404.71312932972563,5066242
2017-12-12,399.65423583984375,408.1512412444331,398.7701597244105,404.27109109947406,6151197
2017-12-13,394.84088134765625,402.6011511772349,392.92535823512964,399.80155200424446,5140689
2017-12-14,395.2829284667969,397.3948964003916,391.1572299407153,396.8546359910398,4674026
2017-12-15,397.9351806640625,401.76619708569564,397.0511045633513,399.3104134849273,5614113
2017-12-18,398.6227722167969,402.65026321791294,382.414600852995,391.9430529792091,5356208
2017-12-19,412.6698913574219,414.2415988920947,400.1453947176607,400.1453947176607,9686883
2017-12-20,415.1256408691406,420.184548786493,411.83488504672636,414.48714316695884,11191127
2017-12-21,413.35748291015625,418.5146284620378,412.12959111208926,416.50089790433873,4885225
2017-12-22,414.5362548828125,418.85842784811075,413.45570414703144,414.5853585616919,5345261
2017-12-26,416.6973571777344,417.63053692306914,413.7012833145203,414.5362557019021,3700655
2017-12-27,414.9783020019531,420.8721823193041,412.8663042393086,416.0097190663593,3673355
2017-12-28,411.1964111328125,416.20621566206154,408.6423901985064,416.00974098333523,5018893
2017-12-29,424.2120361328125,425.7837435252042,409.7720175583375,410.60698992096667,8640908
2018-01-01,416.9429626464844,428.6815905788157,414.7818610300928,423.32800017566285,6807536
2018-01-02,431.5302734375,433.0528772252758,414.5362632617394,421.2651161846576,15331261
